matchup,agent_name,opponent_name,evaluation_function,search_depth,games,wins,losses,win_rate,average_game_length,average_decision_time_seconds,average_expanded_nodes,average_pruned_branches
"Minimax[balanced,d=1]_vs_Random",Minimax,Random,balanced,1,20,19,1,0.95,4.05,0.0007657592624632849,42.75555555555555,0
"Minimax[balanced,d=1]_vs_Random",Random,Minimax,none,0,20,1,19,0.05,4.05,2.8935238434415725e-05,0,0
"AlphaBeta[balanced,d=1]_vs_Random",AlphaBeta,Random,balanced,1,20,19,1,0.95,4.35,0.0007514810010131138,41.979166666666664,0
"AlphaBeta[balanced,d=1]_vs_Random",Random,AlphaBeta,none,0,20,1,19,0.05,4.35,1.6291745198078646e-05,0,0
"Expectimax[balanced,d=1]_vs_Random",Expectimax,Random,balanced,1,20,20,0,1.0,4.3,0.0008200277419139942,46.791666666666664,0
"Expectimax[balanced,d=1]_vs_Random",Random,Expectimax,none,0,20,0,20,0.0,4.3,1.839033671115574e-05,0,0
"AlphaBeta[balanced,d=1]_vs_Minimax[balanced,d=1]",AlphaBeta,Minimax,balanced,1,20,13,7,0.65,5.75,0.0005152076009218976,28.305084745762713,0
"AlphaBeta[balanced,d=1]_vs_Minimax[balanced,d=1]",Minimax,AlphaBeta,balanced,1,20,7,13,0.35,5.75,0.0006141056344079386,33.982142857142854,0
"AlphaBeta[balanced,d=1]_vs_Expectimax[balanced,d=1]",AlphaBeta,Expectimax,balanced,1,20,10,10,0.5,6.1,0.0005625826421147976,31.229508196721312,0
"AlphaBeta[balanced,d=1]_vs_Expectimax[balanced,d=1]",Expectimax,AlphaBeta,balanced,1,20,10,10,0.5,6.1,0.0005162158278656788,29.327868852459016,0
"Minimax[balanced,d=2]_vs_Random",Minimax,Random,balanced,2,20,19,1,0.95,4.55,0.01689623330021277,974.86,0
"Minimax[balanced,d=2]_vs_Random",Random,Minimax,none,0,20,1,19,0.05,4.55,1.7712381100509226e-05,0,0
"AlphaBeta[balanced,d=2]_vs_Random",AlphaBeta,Random,balanced,2,20,20,0,1.0,4.7,0.0038778333154578623,220.21153846153845,788.2307692307693
"AlphaBeta[balanced,d=2]_vs_Random",Random,AlphaBeta,none,0,20,0,20,0.0,4.7,1.781643091124438e-05,0,0
"Expectimax[balanced,d=2]_vs_Random",Expectimax,Random,balanced,2,20,19,1,0.95,4.85,0.016638731080950854,974.3018867924528,0
"Expectimax[balanced,d=2]_vs_Random",Random,Expectimax,none,0,20,1,19,0.05,4.85,1.5054826772856442e-05,0,0
"AlphaBeta[balanced,d=2]_vs_Minimax[balanced,d=2]",AlphaBeta,Minimax,balanced,2,20,11,9,0.55,5.15,0.005270393406345437,297.96153846153845,904.2115384615385
"AlphaBeta[balanced,d=2]_vs_Minimax[balanced,d=2]",Minimax,AlphaBeta,balanced,2,20,9,11,0.45,5.15,0.01868998942960638,1089.5882352941176,0
"AlphaBeta[balanced,d=2]_vs_Expectimax[balanced,d=2]",AlphaBeta,Expectimax,balanced,2,20,12,8,0.6,5.3,0.004179147332992956,235.07407407407408,780.6111111111111
"AlphaBeta[balanced,d=2]_vs_Expectimax[balanced,d=2]",Expectimax,AlphaBeta,balanced,2,20,8,12,0.4,5.3,0.018025997638827763,1049.0961538461538,0
"Minimax[balanced,d=3]_vs_Random",Minimax,Random,balanced,3,20,20,0,1.0,4.6,0.3863612908787806,22825.313725490196,0
"Minimax[balanced,d=3]_vs_Random",Random,Minimax,none,0,20,0,20,0.0,4.6,2.2443068191045667e-05,0,0
"AlphaBeta[balanced,d=3]_vs_Random",AlphaBeta,Random,balanced,3,20,20,0,1.0,4.9,0.04825350928284159,2765.277777777778,4212.037037037037
"AlphaBeta[balanced,d=3]_vs_Random",Random,AlphaBeta,none,0,20,0,20,0.0,4.9,1.6746119151569225e-05,0,0
"Expectimax[balanced,d=3]_vs_Random",Expectimax,Random,balanced,3,20,20,0,1.0,5.2,0.4764434933854398,28411.526315789473,0
"Expectimax[balanced,d=3]_vs_Random",Random,Expectimax,none,0,20,0,20,0.0,5.2,1.833430848064575e-05,0,0
"AlphaBeta[balanced,d=3]_vs_Minimax[balanced,d=3]",AlphaBeta,Minimax,balanced,3,20,10,10,0.5,4.5,0.059453870350908905,3472.9777777777776,5223.488888888889
"AlphaBeta[balanced,d=3]_vs_Minimax[balanced,d=3]",Minimax,AlphaBeta,balanced,3,20,10,10,0.5,4.5,0.48887168891314003,28877.444444444445,0
"AlphaBeta[balanced,d=3]_vs_Expectimax[balanced,d=3]",AlphaBeta,Expectimax,balanced,3,20,7,13,0.35,5.15,0.05693691008724272,3269.54,4988.46
"AlphaBeta[balanced,d=3]_vs_Expectimax[balanced,d=3]",Expectimax,AlphaBeta,balanced,3,20,13,7,0.65,5.15,0.4049939725104333,23974.037735849055,0
"AlphaBeta[mobility,d=3]_vs_Random",AlphaBeta,Random,mobility,3,20,20,0,1.0,5.4,0.03334480369960795,1910.949152542373,3014.7796610169494
"AlphaBeta[mobility,d=3]_vs_Random",Random,AlphaBeta,none,0,20,0,20,0.0,5.4,1.630106256628523e-05,0,0
