experiment_id,timestamp,search_id,search_name,config_index,total_configs,config_name,seed,position_bins,velocity_bins,action_bins,alpha,gamma,epsilon_start,epsilon_min,epsilon_decay,episodes,max_steps,train_last_100_avg_reward,train_last_100_avg_steps,train_success_rate_last_100,test_episodes,test_success_rate,test_avg_reward,test_std_reward,test_avg_steps,test_std_steps,training_time_seconds,model_path,notes,reward_shaping,shaping_position_weight,shaping_velocity_weight,q_init,explicit_action_values,final_epsilon,train_last_100_avg_env_reward,train_last_100_avg_learning_reward,train_last_100_avg_position,train_last_100_max_position,test_avg_max_position,test_success_count,profile,run_key,completed_at,estimated_total_time_seconds,average_seconds_per_experiment_so_far
01692f6edf66,2026-06-30T23:00:14-03:00,,,,,baseline_simple,10,30,30,7,0.1,0.99,1.0,0.05,0.995,20,999,-43.15833425203996,999.0,0.0,2,0.0,0.0,0.0,999.0,0.0,0.343,models/baseline_simple_01692f6edf66.pkl,Baseline de grilla compacta,,,,,,,,,,,,,,,,,
b9326bfce11d,2026-06-30T23:00:14-03:00,,,,,balanced,20,40,40,9,0.15,0.99,1.0,0.05,0.995,20,999,-40.36531249999999,999.0,0.0,2,0.0,0.0,0.0,999.0,0.0,0.33,models/balanced_b9326bfce11d.pkl,Mayor resolución y alpha,,,,,,,,,,,,,,,,,
d4c2c800866c,2026-06-30T23:00:15-03:00,,,,,fine_grained,30,50,50,11,0.1,0.995,1.0,0.05,0.997,20,999,-39.19440096223957,999.0,0.0,2,0.0,0.0,0.0,999.0,0.0,0.334,models/fine_grained_d4c2c800866c.pkl,Grilla fina y decay más lento,,,,,,,,,,,,,,,,,
58fba62c688c,2026-06-30T23:04:47-03:00,,,,,flow_validation_simple,101,20,20,5,0.1,0.99,1.0,0.05,0.995,3,100,-5.091666666666668,100.0,0.0,2,0.0,-0.6499999999999997,0.6499999999999997,100.0,0.0,0.007,models/q_learning_flow_validation_simple_seed101_58fba62c688c.pkl,Validación corta del flujo simple,,,,,,,,,,,,,,,,,
fc5c7029457d,2026-06-30T23:04:47-03:00,,,,,flow_validation_balanced,102,30,30,7,0.15,0.99,1.0,0.05,0.995,3,100,-4.3185186070424555,100.0,0.0,2,0.0,-0.05,0.05,100.0,0.0,0.005,models/q_learning_flow_validation_balanced_seed102_fc5c7029457d.pkl,Validación corta del flujo balanceado,,,,,,,,,,,,,,,,,
4e361fe6f996,2026-06-30T23:17:17-03:00,f43058237891,validation_short_20260630,1,2,grid_p30_v30_a7_alpha0p1_gamma0p99_decay0p995,101,30,30,7,0.1,0.99,1.0,0.05,0.995,3,100,-4.396296397403436,100.0,0.0,2,0.0,-4.038888900147538,4.038888900147538,100.0,0.0,0.006,models/q_learning_grid_p30_v30_a7_alpha0p1_gamma0p99_decay0p995_seed101_4e361fe6f996.pkl,Validación corta automatizada,,,,,,,,,,,,,,,,,
cb3c25569b28,2026-06-30T23:17:17-03:00,f43058237891,validation_short_20260630,2,2,grid_p30_v30_a9_alpha0p1_gamma0p99_decay0p995,101,30,30,9,0.1,0.99,1.0,0.05,0.995,3,100,-4.252083333333333,100.0,0.0,2,0.0,-4.574999999999993,4.574999999999993,100.0,0.0,0.005,models/q_learning_grid_p30_v30_a9_alpha0p1_gamma0p99_decay0p995_seed101_cb3c25569b28.pkl,Validación corta automatizada,,,,,,,,,,,,,,,,,
fc0541f9a1f5,2026-06-30T23:39:04-03:00,161188b95ef6,qlearning_grid_search_001,1,8,grid_p30_v30_a7_alpha0p1_gamma0p99_decay0p995,42,30,30,7,0.1,0.99,1.0,0.05,0.995,3000,999,-2.205444491260583,999.0,0.0,20,0.0,0.0,0.0,999.0,0.0,63.9,models/q_learning_grid_p30_v30_a7_alpha0p1_gamma0p99_decay0p995_seed42_fc0541f9a1f5.pkl,,,,,,,,,,,,,,,,,,
faa217152d59,2026-06-30T23:40:08-03:00,161188b95ef6,qlearning_grid_search_001,2,8,grid_p30_v30_a9_alpha0p1_gamma0p99_decay0p995,42,30,30,9,0.1,0.99,1.0,0.05,0.995,3000,999,-2.0545625000000003,999.0,0.0,20,0.0,0.0,0.0,999.0,0.0,63.037,models/q_learning_grid_p30_v30_a9_alpha0p1_gamma0p99_decay0p995_seed42_faa217152d59.pkl,,,,,,,,,,,,,,,,,,
34366508e137,2026-06-30T23:41:14-03:00,161188b95ef6,qlearning_grid_search_001,3,8,grid_p30_v40_a7_alpha0p1_gamma0p99_decay0p995,42,30,40,7,0.1,0.99,1.0,0.05,0.995,3000,999,-2.206777824613784,999.0,0.0,20,0.0,0.0,0.0,999.0,0.0,66.264,models/q_learning_grid_p30_v40_a7_alpha0p1_gamma0p99_decay0p995_seed42_34366508e137.pkl,,,,,,,,,,,,,,,,,,
